# Temperatura_=_-1.735999999999999
# Concentracion g/m^3_=_19900.0
# C_Vs_to_Am_M_A/Vsm_=_254322799225.57578
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_268261.0797640482
# Promedio de 375 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-3.721634e-09	-2.369166e-09	-1.985266e+01	-6.023063e+02
1.000000e-08	-3.721255e-09	-2.371144e-09	-1.985064e+01	-6.028274e+02
2.000000e-08	-3.719804e-09	-2.372549e-09	-1.984290e+01	-6.032620e+02
3.000000e-08	-3.717034e-09	-2.373939e-09	-1.982812e+01	-6.035926e+02
4.000000e-08	-3.713231e-09	-2.375191e-09	-1.980784e+01	-6.037972e+02
5.000000e-08	-3.708593e-09	-2.375323e-09	-1.978310e+01	-6.038591e+02
6.000000e-08	-3.703003e-09	-2.374442e-09	-1.975327e+01	-6.037755e+02
7.000000e-08	-3.696368e-09	-2.373342e-09	-1.971788e+01	-6.035616e+02
8.000000e-08	-3.688592e-09	-2.372499e-09	-1.967640e+01	-6.032479e+02
9.000000e-08	-3.679371e-09	-2.370672e-09	-1.962721e+01	-6.028732e+02
1.000000e-07	-3.668635e-09	-2.367329e-09	-1.956994e+01	-6.024742e+02
1.100000e-07	-3.656958e-09	-2.369062e-09	-1.950766e+01	-6.020776e+02
1.200000e-07	-3.644602e-09	-2.371552e-09	-1.944174e+01	-6.016961e+02
1.300000e-07	-3.631146e-09	-2.366066e-09	-1.936996e+01	-6.013305e+02
1.400000e-07	-3.616430e-09	-2.361886e-09	-1.929146e+01	-6.009753e+02
1.500000e-07	-3.600685e-09	-2.368135e-09	-1.920747e+01	-6.006267e+02
1.600000e-07	-3.583798e-09	-2.371551e-09	-1.911739e+01	-6.002871e+02
1.700000e-07	-3.565619e-09	-2.363071e-09	-1.902042e+01	-5.999647e+02
1.800000e-07	-3.546543e-09	-2.359608e-09	-1.891866e+01	-5.996686e+02
1.900000e-07	-3.526888e-09	-2.364149e-09	-1.881381e+01	-5.994011e+02
2.000000e-07	-3.506409e-09	-2.360294e-09	-1.870457e+01	-5.991504e+02
2.100000e-07	-3.484949e-09	-2.352688e-09	-1.859009e+01	-5.988896e+02
2.200000e-07	-3.462686e-09	-2.358241e-09	-1.847133e+01	-5.985815e+02
2.300000e-07	-3.439527e-09	-2.362813e-09	-1.834779e+01	-5.981899e+02
2.400000e-07	-3.415408e-09	-2.351851e-09	-1.821913e+01	-5.976924e+02
2.500000e-07	-3.390474e-09	-2.347479e-09	-1.808613e+01	-5.970900e+02
2.600000e-07	-3.364493e-09	-2.351894e-09	-1.794753e+01	-5.964094e+02
2.700000e-07	-3.337252e-09	-2.342208e-09	-1.780221e+01	-5.956937e+02
2.800000e-07	-3.309040e-09	-2.331364e-09	-1.765172e+01	-5.949859e+02
2.900000e-07	-3.280006e-09	-2.334450e-09	-1.749684e+01	-5.943083e+02
3.000000e-07	-3.249964e-09	-2.332146e-09	-1.733659e+01	-5.936460e+02
3.100000e-07	-3.218924e-09	-2.321587e-09	-1.717101e+01	-5.929401e+02
3.200000e-07	-3.187174e-09	-2.322358e-09	-1.700164e+01	-5.920950e+02
3.300000e-07	-3.154785e-09	-2.324506e-09	-1.682887e+01	-5.909972e+02
3.400000e-07	-3.121450e-09	-2.312423e-09	-1.665104e+01	-5.895426e+02
3.500000e-07	-3.086894e-09	-2.306024e-09	-1.646671e+01	-5.876612e+02
3.600000e-07	-3.051269e-09	-2.303178e-09	-1.627667e+01	-5.853348e+02
3.700000e-07	-3.014825e-09	-2.285150e-09	-1.608226e+01	-5.825992e+02
3.800000e-07	-2.977580e-09	-2.269823e-09	-1.588359e+01	-5.795326e+02
3.900000e-07	-2.939519e-09	-2.263246e-09	-1.568055e+01	-5.762332e+02
4.000000e-07	-2.900632e-09	-2.249105e-09	-1.547311e+01	-5.727933e+02
4.100000e-07	-2.861025e-09	-2.233137e-09	-1.526183e+01	-5.692784e+02
4.200000e-07	-2.820823e-09	-2.220474e-09	-1.504738e+01	-5.657166e+02
4.300000e-07	-2.779854e-09	-2.206307e-09	-1.482884e+01	-5.621005e+02
4.400000e-07	-2.737799e-09	-2.192808e-09	-1.460450e+01	-5.584004e+02
4.500000e-07	-2.694665e-09	-2.177214e-09	-1.437440e+01	-5.545812e+02
4.600000e-07	-2.650804e-09	-2.160181e-09	-1.414043e+01	-5.506181e+02
4.700000e-07	-2.606359e-09	-2.145532e-09	-1.390335e+01	-5.465056e+02
4.800000e-07	-2.561217e-09	-2.128649e-09	-1.366254e+01	-5.422567e+02
4.900000e-07	-2.515341e-09	-2.110408e-09	-1.341782e+01	-5.378945e+02
5.000000e-07	-2.468749e-09	-2.095934e-09	-1.316928e+01	-5.334409e+02
5.100000e-07	-2.421484e-09	-2.078302e-09	-1.291715e+01	-5.289066e+02
5.200000e-07	-2.373693e-09	-2.056989e-09	-1.266222e+01	-5.242861e+02
5.300000e-07	-2.325393e-09	-2.039733e-09	-1.240456e+01	-5.195607e+02
5.400000e-07	-2.276282e-09	-2.022085e-09	-1.214258e+01	-5.147065e+02
5.500000e-07	-2.226076e-09	-2.000943e-09	-1.187477e+01	-5.097035e+02
5.600000e-07	-2.174907e-09	-1.980724e-09	-1.160181e+01	-5.045438e+02
5.700000e-07	-2.123088e-09	-1.960799e-09	-1.132539e+01	-4.992333e+02
5.800000e-07	-2.070697e-09	-1.938838e-09	-1.104591e+01	-4.937880e+02
5.900000e-07	-2.017683e-09	-1.917130e-09	-1.076312e+01	-4.882263e+02
6.000000e-07	-1.964095e-09	-1.895371e-09	-1.047726e+01	-4.825604e+02
6.100000e-07	-1.909982e-09	-1.872275e-09	-1.018860e+01	-4.767904e+02
6.200000e-07	-1.855314e-09	-1.849183e-09	-9.896977e+00	-4.709033e+02
6.300000e-07	-1.800114e-09	-1.825911e-09	-9.602517e+00	-4.648775e+02
6.400000e-07	-1.744509e-09	-1.801988e-09	-9.305900e+00	-4.586899e+02
6.500000e-07	-1.688609e-09	-1.777427e-09	-9.007707e+00	-4.523234e+02
6.600000e-07	-1.632373e-09	-1.751549e-09	-8.707721e+00	-4.457715e+02
6.700000e-07	-1.575661e-09	-1.724596e-09	-8.405196e+00	-4.390380e+02
6.800000e-07	-1.518362e-09	-1.697857e-09	-8.099544e+00	-4.321332e+02
6.900000e-07	-1.460390e-09	-1.670286e-09	-7.790299e+00	-4.250666e+02
7.000000e-07	-1.401729e-09	-1.641541e-09	-7.477378e+00	-4.178415e+02
